             eV             nm  Absorbance(f)     XX(length)     YY(length)     ZZ(length)      R(length)   XX(velocity)   YY(velocity)   ZZ(velocity)    R(velocity)
         1.8197       681.3400         0.0058        46.8640       -27.9684        17.6713        12.1890       -15.6097        50.3572        10.8524        15.2000
         1.8504       670.0300         0.0067      -121.8856        32.5050         0.5569       -29.6079        25.7048       -70.9616       -49.5301       -31.5956
         1.9137       647.8700         0.0031        24.8538         0.5201      -163.6942       -46.1068       -99.1497       -68.3273         4.9176       -54.1865
         1.9801       626.1500         0.0026        41.6516        -2.4702        43.1657        27.4490        24.0407        30.7946        23.9396        26.2583
         2.0213       613.3900         0.0008       -31.6614        51.4179        -1.6770         6.0265        35.3148       -21.4976         6.4864         6.7679
         2.0662       600.0500         0.0065         6.2537        -2.1349       184.7867        62.9685        82.7205        71.8315       -16.2204        46.1105
         2.1154       586.0900         0.0273       280.5207       -14.3847        -9.3674        85.5895       -13.7398       188.9603        96.6168        90.6124
         2.1393       579.5600         0.0074        -0.9986        85.3015        87.0554        57.1194       120.8694        31.5703        33.1811        61.8736
         2.1570       574.7900         0.0136       258.5814        -3.6258       -19.1611        78.5981        -6.7727       150.9192       103.8159        82.6542
         2.1619       573.4900         0.0145       191.8057        -0.4547        32.7022        74.6844        25.2859       134.6700        80.9700        80.3086
         2.2254       557.1400         0.0520       389.6304        -3.0116        84.0875       156.9021        48.4747       255.8481       179.7160       161.3463
         2.2603       548.5300         0.0129        81.4225       -11.5694        58.4759        42.7763        29.1853        64.4789        43.4941        45.7194
         2.3061       537.6300         0.0014        -3.6064        74.0338        64.0821        44.8365        86.5463        20.8681        41.8212        49.7452
         2.3636       524.5500         0.0002         6.7921        16.3477        -4.7258         6.1380        10.1828         2.0266        13.9978         8.7357
         2.3900       518.7600         0.0254       -75.3643       -71.2247        40.9098       -35.2264       -25.6381       -30.0627       -60.0601       -38.5870
         2.4202       512.2800         0.0062       114.9719        -2.7899       -89.8203         7.4539       -65.1650        30.2091        63.9957         9.6799
         2.4730       501.3600         0.0063       -82.5534         2.8894        18.7346       -20.3098         5.3625       -23.5737       -46.9873       -21.7328
         2.4898       497.9600         0.0022       -13.3344         6.5781        19.3493         4.1977        24.8337         3.5694         1.2265         9.8765
         2.5057       494.8200         0.0052       -18.2533       -57.1267        -9.8812       -28.4204       -59.5544       -11.2829       -26.5098       -32.4490
         2.5479       486.6200         0.0081        10.0701       -26.5901        -2.5864        -6.3688       -14.6289       -13.1310         4.4332        -7.7755
         2.5942       477.9300         0.0257      -144.3959        13.2770       -48.2368       -59.7853       -84.5601       -87.6814       -34.0519       -68.7645
         2.6178       473.6200         0.0189      -250.9622       -42.8144       -73.6810      -122.4858       -81.5055      -164.1786      -139.7925      -128.4922
         2.6282       471.7500         0.0044       -90.7349       -74.0630         3.6229       -53.7250       -43.0834       -53.2730       -88.8103       -61.7222
         2.6669       464.9000         0.0426      -237.1023      -142.2660       -72.7019      -150.6901      -113.7960      -134.6524      -229.7925      -159.4136
         2.6720       464.0200         0.0131      -114.8617       -33.9341        55.2087       -31.1957        11.9292       -44.8257       -77.3496       -36.7487
         2.6973       459.6600         0.0188      -124.4982        -1.7817        84.2719       -14.0027        83.3331       -47.4027       -77.4111       -13.8269
         2.7141       456.8100         0.0120        95.0633       -23.6710        84.2946        51.8956        72.0645        99.4297        55.9069        75.8004
         2.7355       453.2500         0.0156        31.0542         7.1789        71.6658        36.6330        51.7334        60.1529        28.2793        46.7219
         2.7713       447.3800         0.0106        45.2870        -0.6831        11.9660        18.8567         5.4428        36.0159        23.8030        21.7539
         2.8156       440.3400         0.0166       -39.7654      -133.1612        93.7398       -26.3956       -21.2415        35.7325       -97.7699       -27.7596
         2.8472       435.4500         0.0042        21.7598       -31.3731         4.4861        -1.7091        -9.6176         5.7493        -2.9425        -2.2703
         2.8619       433.2300         0.0006        -3.4103       -29.7474         1.6354       -10.5075       -18.8625        -8.8849        -8.2384       -11.9953
         2.8994       427.6200         0.0155         4.1136        33.5425      -354.7508      -105.6982      -186.5742      -208.6301        29.2039      -122.0001
         2.9260       423.7300         0.0033        35.2564        31.5927       -26.9991        13.2834         4.4550        -4.7015        37.8105        12.5214
         2.9532       419.8300         0.0148        72.4523        86.4813        14.6790        57.8709        22.5176        52.3469       104.4378        59.7674
         2.9736       416.9500         0.0233        75.9827         4.8270      -259.9103       -59.7002      -165.5715      -112.9655        55.0331       -74.5013
         3.0294       409.2800         0.0152       -12.9743       -42.1249         0.8484       -18.0836       -43.5779        -1.9519       -13.6120       -19.7139
         3.0532       406.0700         0.0155       -15.6213      -389.6639        -0.6103      -135.2985      -303.0195       -16.4907      -168.1000      -162.5367
         3.0737       403.3700         0.0114        20.6299       -85.8866       -58.7954       -41.3507      -103.7433       -43.4952        13.3088       -44.6432
         3.1216       397.1900         0.0470        73.7998       -49.7532        56.2858        26.7775        22.0422        42.7069        41.3553        35.3681
         3.1723       390.8300         0.0518        44.2204      -140.4379        11.9254       -28.0973       -57.2526        27.9152       -62.6363       -30.6579
         3.2231       384.6700         0.0167        45.0553        56.7359        -3.4816        32.7699        13.5764        27.0915        64.0747        34.9142
         3.2361       383.1300         0.1010       -12.4024       -84.2227        29.5066       -22.3728       -69.2105        11.0382       -12.7372       -23.6365
         3.2736       378.7400         0.1265        17.9354       -64.1290        15.8962       -10.0991       -27.0574        50.4292       -66.7219       -14.4500
         3.3092       374.6600         0.0364       -27.3527       -23.6555        30.7352        -6.7577        10.1320         7.2298       -36.9212        -6.5198
         3.3446       370.7000         0.5915       191.6736        20.4373      -204.4749         2.5454       -48.1282        16.0856        31.6944        -0.1161
         3.3508       370.0200         0.0135         0.1897        -0.3826         5.7320         1.8464        52.7482       -46.1167        -0.3356         2.0986
         3.3798       366.8400         0.2847      -311.6734        -6.1678        -0.0232      -105.9548       -13.4013      -119.9709      -195.0990      -109.4904
         3.4003       364.6300         0.0565       134.6699        58.2085        -1.7066        63.7239        42.3539        63.1448        91.3471        65.6152
         3.4173       362.8200         0.0009         0.6113         2.4980       -39.0300       -11.9736       -24.5411       -17.7437         1.2400       -13.6816
         3.4334       361.1100         0.0109        19.0652        41.7200        18.5886        26.4579        44.3796        14.2508        23.5632        27.3979
         3.4610       358.2400         0.0625       132.2020        -2.8485       -24.3804        34.9910        -9.5381        74.8446        40.0062        35.1042
         3.4709       357.2100         0.0044       -17.9590        -0.2247        -0.2783        -6.1540         1.3346        -7.3254       -12.6515        -6.2141
         3.4971       354.5400         0.0075        -1.9856         5.5681        29.5830        11.0552        31.2890        -1.6914         5.2227        11.6068
         3.5231       351.9200         0.2023       191.5240       -59.5182       257.6169       129.8742       164.6423       241.1639        -0.9197       134.9622
         3.5256       351.6700         0.0190       -23.6224         2.0819        -0.9442        -7.4949         8.1041       -10.8410       -20.4474        -7.7281
         3.5506       349.1900         0.0054         0.1349        16.6409        31.7717        16.1825        38.5553        21.9689        -5.5383        18.3286
         3.5533       348.9300         0.0479       -41.8433        -8.8983       -10.3272       -20.3563       -69.7562       -24.8879        30.0090       -21.5450
         3.5661       347.6700         0.0164       -18.3586       -49.2525        93.0386         8.4758        38.0629        18.3188       -35.5015         6.9601
         3.5746       346.8500         0.0114         5.6019        19.1355        42.4271        22.3882        49.1113        17.2515        11.1001        25.8210
         3.5847       345.8700         0.2535      -137.9475       -68.8061         8.1532       -66.2001       -78.4006        92.5086      -220.6640       -68.8520
         3.6053       343.8900         0.0115        -4.5807       -13.5189         6.2219        -3.9592       -20.8099         3.7356         5.8019        -3.7575
         3.6163       342.8500         0.0067       -11.0774        -0.0697        -3.7279        -4.9583         0.4713        -9.2867        -6.4588        -5.0914
         3.6179       342.7000         0.0123        22.2619        14.4347        41.2986        25.9984        48.2523         8.1350        28.3427        28.2433
         3.6358       341.0100         0.0385        -3.0841       -39.9019        74.3895        10.4679        22.9775        54.4735       -37.2038        13.4157
         3.6413       340.4900         0.0728       -53.7568       109.4142        32.1006        29.2527        86.3438        13.6568         4.3963        34.7990
         3.6551       339.2100         0.0243       -20.1896        -4.9949        44.2183         6.3446        44.8838        13.9857       -32.0994         8.9233
         3.6647       338.3200         0.0451        10.4813         1.7256       -58.7205       -15.5046        18.8459       -40.4850       -30.2236       -17.2876
         3.6742       337.4500         0.0144       -64.0936        19.1283         0.6591       -14.7687        22.1271       -31.9450       -34.4505       -14.7562
         3.6797       336.9400         0.0136        19.1291        59.6663        77.2871        52.0275       111.0050        32.7427        27.4685        57.0721
         3.6968       335.3900         0.0155       -19.3749        -2.6621        15.5586        -2.1595         6.8712         4.1647       -15.8199        -1.5947
         3.6993       335.1500         0.0610      -194.2345       -13.2399         9.2222       -66.0840        -6.2044       -89.6215      -108.4990       -68.1083
         3.7211       333.1900         0.0733      -145.3566       -36.2126       105.4179       -25.3838       -59.7053        50.1849       -50.7796       -20.1000
         3.7286       332.5200         0.0104        25.1762       -96.1244         4.6370       -22.1037       -54.6414        13.1914       -25.8728       -22.4409
         3.7363       331.8400         0.0087        20.1075        -0.7817        57.7101        25.6787        60.1585        18.9254         1.9541        27.0126
         3.7444       331.1200         0.0023        -1.6387        -3.5927         8.0398         0.9361         8.0332        -1.1676        -4.7766         0.6964
         3.7482       330.7800         0.0201       -14.9778       -42.8975        -4.8028       -20.8927       -22.7152       -24.8219       -20.1458       -22.5610
         3.7616       329.6000         0.0064        24.6563         1.6455         2.0332         9.4450        -2.1024        30.5923        -0.6013         9.2962
         3.7702       328.8500         0.0351      -101.8107        27.9078       134.5142        20.2038       196.1328      -104.1856       -29.7315        20.7386
         3.7756       328.3900         0.0204       -68.1525       -52.7783        -8.0231       -42.9846       -39.6894       -39.0991       -52.8433       -43.8773
         3.7903       327.1000         0.0225      -107.3719        -9.5183         5.6773       -37.0710       -11.8614       -57.1622       -41.2669       -36.7635
         3.7943       326.7700         0.0248        75.0867        54.6500        60.6588        63.4651        51.9774        69.3023        79.2884        66.8560
         3.7996       326.3100         0.0266        34.7542        -9.4567         6.6310        10.6428        -7.1654        16.3060        16.1420         8.4276
         3.8066       325.7100         0.0438      -193.7153        33.1567        96.0124       -21.5154        51.5811       -29.3751       -76.4229       -18.0723
         3.8218       324.4100         0.0444      -146.1339       -17.7206        60.4612       -34.4644        31.4281       -74.7280       -66.2424       -36.5141
         3.8304       323.6900         0.0755        13.9045       -47.6702        10.4024        -7.7878       -19.5420        11.9641       -20.8951        -9.4910
         3.8385       323.0000         0.0071        69.5264       -43.5280         0.3368         8.7784       -24.4595        33.1534        17.6028         8.7656
         3.8426       322.6600         0.0100       -33.2862        34.4007       -65.8422       -21.5759       -51.7129       -30.0690         8.7389       -24.3477
         3.8450       322.4600         0.0244       131.7104       -16.1249       -15.1444        33.4804      -117.0994        71.3448       143.2113        32.4855
         3.8557       321.5600         0.0588        75.7248       -38.2001        31.9698        23.1649       -24.5475        48.7906        42.8605        22.3678
         3.8642       320.8500         0.0180       -55.1158       -33.0348        33.4181       -18.2441         5.6689       -23.1246       -39.3685       -18.9414
         3.8742       320.0200         0.0082       -17.3402       128.4731         3.2987        38.1438        99.2951        -9.4955        43.0239        44.2745
         3.8836       319.2500         0.0330        25.4874       -86.1841       -21.4460       -27.3809      -119.0980        27.8512         8.4964       -27.5835
         3.8921       318.5500         0.0079       -15.3831       -12.3359       -11.6661       -13.1284        -4.2671        -9.6809       -30.1409       -14.6963
         3.8989       318.0000         0.0059        -3.5968        32.9615        11.5569        13.6405       -21.1882        10.3020        54.5145        14.5428
         3.9115       316.9700         0.0088       -32.2194        35.6920        -7.4689        -1.3321        -1.0016       -14.8456        13.4928        -0.7848
         3.9172       316.5100         0.0401       -10.4575       -22.0379        77.9631        15.1559        55.0394        11.0118       -16.4922        16.5197
         3.9260       315.8000         0.0489        74.4936       -11.1115        66.8987        43.4269       132.2034       -31.7643        36.1215        45.5202
         3.9326       315.2800         0.0338        -0.6619        29.8778        91.8619        40.3593       100.5000        12.0110        17.8727        43.4612
         3.9375       314.8800         0.0161         8.8718        16.9557         3.3578         9.7284        15.4245        16.5522        -0.9739        10.3342
         3.9403       314.6500         0.0425       -33.1630       -24.8566         3.6864       -18.1111        -3.5118       -42.4213        -9.9797       -18.6376
         3.9447       314.3000         0.0173         8.2627       -61.3581       194.8525        47.2524       154.0602        -7.8849         6.1352        50.7701
         3.9530       313.6500         0.0130         7.6085        75.3411        -6.2078        25.5806        36.4372        -2.4320        50.0714        28.0255
         3.9635       312.8200         0.0170       -28.0334       -24.5124        39.3956        -4.3834        -7.8340       -20.5054         7.2863        -7.0177
         3.9740       311.9900         0.0189        -4.4187        39.1138        43.6915        26.1289        89.9987       -12.6217        11.1791        29.5187
         3.9758       311.8400         0.0248         9.7153        -8.9405        86.8446        29.2065       112.7700       -19.6259        -4.8684        29.4252
         3.9842       311.1900         0.0163        16.9437        70.6682        38.6637        42.0919        64.7981        33.5011        30.4787        42.9260
         3.9888       310.8300         0.0228       -57.4959        23.6100        10.3302        -7.8519        32.7876       -15.8057       -35.8252        -6.2811
         3.9961       310.2700         0.0170        13.7537        36.4511         2.9678        17.7242        12.7983         7.7341        34.3240        18.2855
         4.0002       309.9400         0.0083       -13.8463        -0.5809        54.4127        13.3285        67.1477       -15.5519       -10.4765        13.7064
         4.0062       309.4800         0.0074        13.6153        92.0415       -16.2833        29.7912        56.0496         1.7552        34.8830        30.8959
         4.0195       308.4600         0.0142       -14.5156        35.4361        -0.0200         6.9668         0.9554       -12.5391        35.0816         7.8326
         4.0235       308.1500         0.0074        37.5636       -19.3066        10.6671         9.6414       -12.4849        32.3012        10.5185        10.1116
         4.0335       307.3900         0.0310         1.1638       105.1478         6.8719        37.7279         8.3294        -8.8458       120.0369        39.8402
         4.0379       307.0500         0.0055       -26.9628        -7.1190        52.3120         6.0767        33.8328         1.2410       -11.7126         7.7871
         4.0502       306.1200         0.0315         6.8858       222.9007        29.2183        86.3349       105.0674         4.6924       158.9507        89.5702
         4.0510       306.0600         0.0525       -19.7235       143.4515        32.8359        52.1879       152.1031       -11.6584        28.1225        56.1891
         4.0556       305.7100         0.0329       -32.5117         0.9782       211.2221        59.8962       130.8450        80.9556       -18.9027        64.2993
         4.0648       305.0200         0.0181        -2.7604       -10.6933         0.2155        -4.4127       -76.8915        -1.7471        64.3615        -4.7590
         4.0706       304.5900         0.0411        23.7781         4.3987        67.5280        31.9016       100.7638         6.7860        -8.7215        32.9428
         4.0729       304.4100         0.0186        17.4005        17.8982        79.5336        38.2775        67.5637        38.4037        13.8293        39.9323
         4.0800       303.8800         0.0225       -18.9793        -3.9730       -10.1513       -11.0345       -19.5249         8.6560       -22.6003       -11.1564
         4.0812       303.7900         0.0013       -21.1122         1.3817       -18.0870       -12.6058        -3.9227       -25.4411       -12.2257       -13.8632
         4.0858       303.4500         0.0341       -12.9785       -83.3228         7.3410       -29.6534       -58.0001        -5.0929       -30.0789       -31.0573
         4.0984       302.5200         0.0365       -37.7778       -21.4966      -100.3965       -53.2236      -122.2202       -36.4899       -11.4281       -56.7127
         4.0999       302.4100         0.0149        -3.8229       -33.1191        -4.9320       -13.9580        -2.4223        -3.0578       -32.6374       -12.7058
         4.1121       301.5100         0.0144         6.6940        -0.5770        34.8981        13.6717        24.3598         2.8362        14.0691        13.7550
         4.1146       301.3300         0.0111         0.5931        32.4465        19.7760        17.6052        30.4320         6.0600        17.7357        18.0759
         4.1191       301.0000         0.0278        26.0247        25.5987      -100.0069       -16.1278       -29.0806       -51.9619        35.0606       -15.3273
         4.1281       300.3500         0.0481        53.4817        18.7018       -28.4278        14.5852       -73.4241         9.9121       106.4193        14.3024
         4.1320       300.0600         0.0182        -2.1831        -7.0821        67.5146        19.4165        59.0042        -1.0486        -1.4745        18.8270
         4.1385       299.5800         0.0302        50.4263        -5.9599       -76.7711       -10.7682       -16.1047       -24.1441         6.9679       -11.0936
         4.1431       299.2600         0.0127        27.2721        24.4750       -29.1678         7.5264       -31.8485        -4.6434        60.1945         7.9009
         4.1490       298.8300         0.0217        34.1504        20.0033         5.8274        19.9937        12.6990        47.5137         8.5705        22.9277
         4.1533       298.5200         0.0461       -53.8817       -26.8556        37.2363       -14.5003       -50.1732        10.8025         6.0421       -11.1095
         4.1586       298.1400         0.0241       -15.8362        -4.4926         1.4558        -6.2910         7.1437         2.8265       -30.3950        -6.8083
         4.1630       297.8300         0.0064         9.1397         7.1292         0.0006         5.4232         4.0977        -1.3435        15.0217         5.9253
         4.1713       297.2300         0.0227        14.9202       -18.3307      -116.5896       -40.0000        -8.6051       -84.6592       -37.4222       -43.5622
         4.1718       297.1900         0.0368        57.4282       -24.7510        88.7599        40.4790        34.3180        96.8394        -7.5121        41.2151
         4.1752       296.9500         0.0158        -7.5906         3.8515         0.5437        -1.0651       -11.2434         9.7533        -1.8160        -1.1020
         4.1803       296.5900         0.0278       -10.5848        34.5877       -23.7920         0.0703        26.0675       -13.3771         4.6580         5.7828
         4.1863       296.1700         0.0045        -4.3393         5.8538       -12.0806        -3.5220       -12.3791         1.7769         0.9777        -3.2082
         4.1934       295.6600         0.0029        -6.1961        -5.8349         2.4944        -3.1789       -16.3012        -1.0466         5.8639        -3.8279
         4.1960       295.4800         0.0010         2.1589        -5.5984        -8.8300        -4.0898       -10.9066         2.9887        -6.6003        -4.8394
         4.2024       295.0300         0.0206        -4.3686        66.8932        -2.6590        19.9552        43.7854        10.3233        11.7470        21.9519
         4.2109       294.4400         0.0028        -5.8493        -4.2761        -2.0550        -4.0601       -23.7298        11.3394         0.5117        -3.9596
         4.2149       294.1600         0.0272        -1.8341        -7.2174       -47.6149       -18.8888        20.5049       -83.9669         3.0264       -20.1452
         4.2187       293.8900         0.0025        -4.0557         6.6257         4.6907         2.4202         3.7610        -2.8135         9.2614         3.4030
         4.2235       293.5600         0.0503         0.7304       -19.9150      -185.5416       -68.2420      -152.6449      -106.4735        55.3862       -67.9107
         4.2302       293.0900         0.0187        46.2297        31.4728        22.2562        33.3196        31.5656        41.6015        33.5507        35.5726
         4.2363       292.6700         0.0341         2.7967        53.5767       -12.1761        14.7325       -51.3484         3.8186        95.2814        15.9172
         4.2402       292.4000         0.0059        -0.1217         7.0671        -7.6365        -0.2304       -10.3645         1.4534         8.7991        -0.0373
         4.2465       291.9700         0.0047       -25.4444         2.8358         6.2150        -5.4645         6.7850       -18.1802        -2.6548        -4.6833
         4.2516       291.6200         0.0363        -7.4403       -74.4562        -3.7830       -28.5598       -75.5692        -4.7792        -7.6595       -29.3360
         4.2553       291.3600         0.0087       -40.9818         5.1615        -1.0733       -12.2979         6.8363        -5.1730       -31.9109       -10.0825
         4.2606       291.0000         0.0071        -4.2480        28.9457        29.2818        17.9932        47.3378         0.5202         9.8945        19.2508
         4.2644       290.7400         0.0216       -12.7070        66.9298        -6.4797        15.9144        36.4144       -22.4742        36.5750        16.8384
         4.2729       290.1600         0.0365        20.1718        -5.5735      -103.1196       -29.5071       -78.4895       -16.6459       -10.3179       -35.1511
         4.2739       290.0900         0.0020         6.3074         0.6105        -0.4871         2.1436         3.2717         3.2561        -1.5263         1.6672
         4.2784       289.7900         0.0093       -26.8216       -65.7051        -3.9766       -32.1678       -51.5585        -2.1959       -40.5371       -31.4305
         4.2807       289.6400         0.0160        -1.9841        -1.7021       -66.7602       -23.4822       -13.0829       -53.8063        -3.8969       -23.5954
         4.2874       289.1800         0.0036        -4.2173       -20.8098       -43.7718       -22.9329       -26.6820       -25.5520       -12.9718       -21.7352
         4.2919       288.8800         0.0283        45.7770        94.6188        -0.3916        46.6681        60.7811        38.0501        53.0266        50.6193
         4.2963       288.5800         0.0140        -5.8126        80.8444       -27.7701        15.7539        35.3992       -19.6032        38.4654        18.0872
         4.2981       288.4600         0.0069         0.3685       -17.1411         3.1563        -4.5388        -4.2256         3.3956       -16.5798        -5.8033
         4.3043       288.0500         0.0087       -21.6342         2.1774        -6.8752        -8.7773         5.8596       -26.7350        -9.7231       -10.1995
         4.3049       288.0100         0.0103        35.5754        -3.2508       -11.0389         7.0952       -12.3161        13.7409        18.5888         6.6712
         4.3111       287.5900         0.0079         3.6454        57.2507        11.1524        24.0162         8.5236        15.9450        49.1623        24.5436
         4.3148       287.3500         0.0070        26.5513       -21.1575        53.2343        19.5427        25.5707        29.0828        -1.6898        17.6546
         4.3253       286.6500         0.0095       -14.7928       -35.4790         2.5017       -15.9234       -33.5435        -0.4760       -12.9057       -15.6417
         4.3288       286.4200         0.0068        11.3701         4.3955       -21.8159        -2.0167        -6.3938       -15.9696        13.6413        -2.9074
         4.3310       286.2700         0.0072        26.1414        18.1244       -14.1229        10.0477        -8.3578        11.4753        16.6727         6.5967
         4.3326       286.1600         0.0020         7.0032       -42.6476         0.7013       -11.6477       -38.5974         6.6215         1.5304       -10.1485
         4.3366       285.9000         0.0274      -104.7406       -61.3384       -55.6891       -73.9227       -56.3743       -87.1681       -87.1690       -76.9038
         4.3417       285.5700         0.0086       -16.9019       -11.7661        -7.2446       -11.9708        -8.4862       -20.6139        -1.5135       -10.2045
         4.3449       285.3500         0.0161         7.6702       109.0454         0.6579        39.1245        76.2520        15.3859        32.9339        41.5240
         4.3514       284.9300         0.0076         3.5645        45.6120        -0.1283        16.3494        19.3986         3.3114        31.4577        18.0559
         4.3593       284.4100         0.0126        19.0099        -7.4562         7.7375         6.4304         7.4084         7.4136         2.1735         5.6652
         4.3628       284.1900         0.0020       -14.8793        -6.5228        30.7788         3.1256        19.7405        -1.7643       -11.3063         2.2233
         4.3666       283.9400         0.0294        -7.5456      -225.6140        -2.6053       -78.5883      -163.1655       -20.4788       -65.0918       -82.9120
         4.3683       283.8300         0.0081        16.2743         0.2750         2.8046         6.4513         0.8590        12.0914         4.7925         5.9143
         4.3718       283.6000         0.0389        26.5171       -12.0481        -1.8097         4.2198       -12.8986         4.5461        21.9979         4.5484
         4.3799       283.0700         0.0169         8.0728        21.3038        -0.6113         9.5884        26.4043        -2.6488         5.6003         9.7853
         4.3839       282.8200         0.0044        12.8228         9.4358        17.3884        13.2157        18.9811        19.3726         0.7257        13.0265
         4.3897       282.4400         0.0039        -0.0760        45.2580         6.5283        17.2368        24.0870         0.7280        29.1519        17.9890
         4.3926       282.2600         0.0039       -15.7155        26.9513        -8.9540         0.7606       -15.8014        -5.0373        22.6905         0.6173
         4.3954       282.0800         0.0142       -10.2610       -14.0680       -50.4838       -24.9376       -25.5881       -50.4361        -5.5004       -27.1749
         4.3986       281.8700         0.0041        -2.1885         6.8454        -4.4239         0.0777        -8.2478         6.9405         2.1803         0.2910
         4.4006       281.7400         0.0018        10.5163        -1.7988         5.1090         4.6089         6.6759        20.7566        -8.9111         6.1738
         4.4036       281.5500         0.0159        -0.0470        -6.7407         3.7749        -1.0043       -34.5956        16.8328        17.7154        -0.0158
         4.4093       281.1900         0.0149        67.7808         7.2661        30.1455        35.0641        22.8121        55.9549        23.6729        34.1466
         4.4115       281.0500         0.0116        59.0303         3.1091        -2.2308        19.9695        -6.7690        15.9355        53.3019        20.8228
         4.4163       280.7400         0.0057         4.7385       -27.5696       -29.0705       -17.3005       -46.8678        -5.5416        -0.9842       -17.7979
         4.4197       280.5200         0.0023         4.4030        -9.9731         1.1839        -1.4621         5.2515        -0.7382       -12.7278        -2.7382
         4.4291       279.9300         0.0070        -0.0435        -5.0529       -82.2880       -29.1282       -67.5626       -40.1558        12.3297       -31.7962
         4.4359       279.5000         0.0154       -43.4194        -4.5045       -74.5386       -40.8209       -28.0754       -93.8535        -7.4011       -43.1100
         4.4400       279.2400         0.0297       -99.4646       -91.5860        31.3820       -53.2229       -46.0691       -43.7435       -77.8402       -55.8843
         4.4428       279.0600         0.0359       139.1124        -0.8142       -81.1219        19.0588         4.1339        23.2903        23.1018        16.8420
         4.4440       278.9900         0.0046        -0.5374       -14.0186        35.1430         6.8623        22.9249        10.2282       -12.9180         6.7450
         4.4471       278.8000         0.0085       -19.6550        69.0077        31.1937        26.8488        63.3951        -7.2824        18.9816        25.0314
         4.4553       278.2900         0.0064         1.2536       -80.1653        -0.5173       -26.4764       -42.9664        -5.2327       -34.9915       -27.7302
         4.4596       278.0100         0.0241        -3.7165        30.5982       -25.4007         0.4937        51.1729       -31.4662       -17.4051         0.7672
         4.4626       277.8300         0.0170       -20.1270        89.4551        12.6355        27.3212        91.2095         1.6371         1.7981        31.5482
